date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-06-16,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,387018,megawatthours,new_york
2025-06-17,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,405003,megawatthours,new_york
2025-06-18,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,447644,megawatthours,new_york
2025-06-19,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,486523,megawatthours,new_york
2025-06-20,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,443986,megawatthours,new_york
2025-06-21,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,460139,megawatthours,new_york
2025-06-22,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,506129,megawatthours,new_york
2025-06-23,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,611051,megawatthours,new_york
2025-06-24,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,637696,megawatthours,new_york
2025-06-25,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,628769,megawatthours,new_york
2025-06-26,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,485906,megawatthours,new_york
2025-06-27,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,423031,megawatthours,new_york
2025-06-28,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,444680,megawatthours,new_york
2025-06-29,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,479722,megawatthours,new_york
2025-06-30,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,536985,megawatthours,new_york
2025-07-01,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,550254,megawatthours,new_york
2025-07-02,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,509100,megawatthours,new_york
2025-07-03,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,488481,megawatthours,new_york
2025-07-04,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,411270,megawatthours,new_york
2025-07-05,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,445794,megawatthours,new_york
2025-07-06,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,506101,megawatthours,new_york
2025-07-07,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,566605,megawatthours,new_york
2025-07-08,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,572908,megawatthours,new_york
2025-07-09,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,557217,megawatthours,new_york
2025-07-10,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,527963,megawatthours,new_york
2025-07-11,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,535035,megawatthours,new_york
2025-07-12,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,514307,megawatthours,new_york
2025-07-13,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,509114,megawatthours,new_york
