date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-07-01,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25664,megawatthours,seattle
2025-07-02,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23727,megawatthours,seattle
2025-07-03,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21534,megawatthours,seattle
2025-07-04,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20871,megawatthours,seattle
2025-07-05,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21301,megawatthours,seattle
2025-07-06,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21980,megawatthours,seattle
2025-07-07,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25144,megawatthours,seattle
2025-07-08,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25706,megawatthours,seattle
2025-07-09,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23118,megawatthours,seattle
2025-07-10,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22212,megawatthours,seattle
2025-07-11,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23941,megawatthours,seattle
2025-07-12,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24080,megawatthours,seattle
2025-07-13,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24864,megawatthours,seattle
2025-07-14,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25822,megawatthours,seattle
2025-07-15,SCL,Seattle City Light,D,Demand,Pacific,Pacific,26321,megawatthours,seattle
2025-07-16,SCL,Seattle City Light,D,Demand,Pacific,Pacific,27180,megawatthours,seattle
2025-07-17,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25557,megawatthours,seattle
2025-07-18,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23662,megawatthours,seattle
2025-07-19,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21489,megawatthours,seattle
2025-07-20,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21332,megawatthours,seattle
2025-07-21,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24051,megawatthours,seattle
2025-07-22,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24378,megawatthours,seattle
2025-07-23,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24213,megawatthours,seattle
2025-07-24,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23383,megawatthours,seattle
2025-07-25,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22587,megawatthours,seattle
