date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-06-20,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,128192,megawatthours,phoenix
2025-06-21,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,121415,megawatthours,phoenix
2025-06-22,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,113776,megawatthours,phoenix
2025-06-23,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,120139,megawatthours,phoenix
2025-06-24,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,118570,megawatthours,phoenix
2025-06-25,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,118921,megawatthours,phoenix
2025-06-26,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,126343,megawatthours,phoenix
2025-06-27,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,133774,megawatthours,phoenix
2025-06-28,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,137126,megawatthours,phoenix
2025-06-29,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,144180,megawatthours,phoenix
2025-06-30,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,153236,megawatthours,phoenix
2025-07-01,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,155783,megawatthours,phoenix
2025-07-02,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,144476,megawatthours,phoenix
2025-07-03,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,126956,megawatthours,phoenix
2025-07-04,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,123912,megawatthours,phoenix
2025-07-05,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,130207,megawatthours,phoenix
2025-07-06,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,136565,megawatthours,phoenix
2025-07-07,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,147015,megawatthours,phoenix
2025-07-08,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,153892,megawatthours,phoenix
2025-07-09,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,160374,megawatthours,phoenix
2025-07-10,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,157730,megawatthours,phoenix
2025-07-11,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,154112,megawatthours,phoenix
2025-07-12,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,143389,megawatthours,phoenix
2025-07-13,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,138591,megawatthours,phoenix
2025-07-14,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,144670,megawatthours,phoenix
2025-07-15,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,145208,megawatthours,phoenix
2025-07-16,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,134198,megawatthours,phoenix
2025-07-17,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,139812,megawatthours,phoenix
2025-07-18,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,141754,megawatthours,phoenix
2025-07-19,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,136060,megawatthours,phoenix
2025-07-20,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,128251,megawatthours,phoenix
