date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-06-18,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2607098,megawatthours,chicago
2025-06-19,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2545578,megawatthours,chicago
2025-06-20,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2462749,megawatthours,chicago
2025-06-21,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2643839,megawatthours,chicago
2025-06-22,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2833348,megawatthours,chicago
2025-06-23,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,3243107,megawatthours,chicago
2025-06-24,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,3262296,megawatthours,chicago
2025-06-25,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,3152255,megawatthours,chicago
2025-06-26,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2986353,megawatthours,chicago
2025-06-27,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2616586,megawatthours,chicago
2025-06-28,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2574268,megawatthours,chicago
2025-06-29,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2731608,megawatthours,chicago
2025-06-30,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2891947,megawatthours,chicago
2025-07-01,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2788097,megawatthours,chicago
2025-07-02,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2696571,megawatthours,chicago
2025-07-03,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2737478,megawatthours,chicago
2025-07-04,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2459314,megawatthours,chicago
2025-07-05,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2566129,megawatthours,chicago
2025-07-06,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2667278,megawatthours,chicago
