date,tmax_c,tmin_c,tmax_f,tmin_f,city_x,respondent,respondent-name,type,type-name,timezone,timezone-description,energy_mwh,value-units,city_y,city
2025-06-14,2.0,0.94,35.6,33.69,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21223,megawatthours,seattle,seattle
2025-06-15,2.17,1.11,35.91,34.0,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21207,megawatthours,seattle,seattle
2025-06-16,2.33,1.0,36.19,33.8,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23222,megawatthours,seattle,seattle
2025-06-17,2.28,1.0,36.1,33.8,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23302,megawatthours,seattle,seattle
2025-06-18,2.06,1.28,35.71,34.3,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23008,megawatthours,seattle,seattle
2025-06-19,2.06,1.0,35.71,33.8,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21269,megawatthours,seattle,seattle
2025-06-20,1.72,1.06,35.1,33.91,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22002,megawatthours,seattle,seattle
2025-06-21,1.44,1.0,34.59,33.8,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21622,megawatthours,seattle,seattle
2025-06-22,2.0,1.17,35.6,34.11,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21415,megawatthours,seattle,seattle
2025-06-23,2.5,1.17,36.5,34.11,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23444,megawatthours,seattle,seattle
2025-06-24,2.67,1.22,36.81,34.2,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23754,megawatthours,seattle,seattle
2025-06-25,2.17,1.22,35.91,34.2,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21976,megawatthours,seattle,seattle
2025-06-26,1.89,1.28,35.4,34.3,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21618,megawatthours,seattle,seattle
2025-06-27,2.06,1.28,35.71,34.3,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22272,megawatthours,seattle,seattle
2025-06-28,2.39,1.28,36.3,34.3,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21565,megawatthours,seattle,seattle
2025-06-29,2.67,1.28,36.81,34.3,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22143,megawatthours,seattle,seattle
2025-06-30,3.06,1.56,37.51,34.81,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25683,megawatthours,seattle,seattle
2025-07-01,3.06,1.44,37.51,34.59,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25664,megawatthours,seattle,seattle
2025-07-02,2.39,1.22,36.3,34.2,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23727,megawatthours,seattle,seattle
2025-07-03,2.06,1.17,35.71,34.11,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21534,megawatthours,seattle,seattle
2025-07-04,2.33,1.28,36.19,34.3,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20871,megawatthours,seattle,seattle
2025-07-05,2.39,1.17,36.3,34.11,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21301,megawatthours,seattle,seattle
2025-07-06,2.61,1.39,36.7,34.5,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21980,megawatthours,seattle,seattle
2025-07-07,2.94,1.44,37.29,34.59,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25144,megawatthours,seattle,seattle
2025-07-08,2.94,1.44,37.29,34.59,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25706,megawatthours,seattle,seattle
2025-07-09,2.22,1.5,36.0,34.7,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23118,megawatthours,seattle,seattle
2025-07-10,2.28,1.39,36.1,34.5,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22212,megawatthours,seattle,seattle
2025-07-11,2.89,1.5,37.2,34.7,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23941,megawatthours,seattle,seattle
2025-07-12,2.83,1.78,37.09,35.2,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24080,megawatthours,seattle,seattle
2025-07-13,3.22,1.78,37.8,35.2,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24864,megawatthours,seattle,seattle
2025-07-14,2.56,1.67,36.61,35.01,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25822,megawatthours,seattle,seattle
2025-07-15,3.11,1.33,37.6,34.39,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,26321,megawatthours,seattle,seattle
2025-07-16,3.44,1.89,38.19,35.4,seattle,SCL,Seattle City Light,D,Demand,Pacific,Pacific,27180,megawatthours,seattle,seattle
