date,tmax_c,tmin_c,tmax_f,tmin_f,city_x,respondent,respondent-name,type,type-name,timezone,timezone-description,energy_mwh,value-units,city_y,city
2025-05-08,3.22,1.94,37.8,35.49,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1214235,megawatthours,houston,houston
2025-05-09,2.94,2.0,37.29,35.6,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1189951,megawatthours,houston,houston
2025-05-10,2.89,1.83,37.2,35.29,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1145071,megawatthours,houston,houston
2025-05-11,2.78,1.67,37.0,35.01,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1110723,megawatthours,houston,houston
2025-05-12,3.0,1.61,37.4,34.9,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1252353,megawatthours,houston,houston
2025-05-13,3.5,2.06,38.3,35.71,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1406912,megawatthours,houston,houston
2025-05-14,3.56,2.39,38.41,36.3,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1484450,megawatthours,houston,houston
2025-05-15,3.5,2.5,38.3,36.5,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1463810,megawatthours,houston,houston
2025-05-16,3.39,2.72,38.1,36.9,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1472815,megawatthours,houston,houston
2025-05-17,3.44,2.61,38.19,36.7,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1450839,megawatthours,houston,houston
2025-05-18,3.33,2.72,37.99,36.9,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1419175,megawatthours,houston,houston
2025-05-19,3.33,2.67,37.99,36.81,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1467411,megawatthours,houston,houston
2025-05-20,3.56,2.72,38.41,36.9,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1429415,megawatthours,houston,houston
2025-05-21,3.17,2.44,37.71,36.39,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1386664,megawatthours,houston,houston
2025-05-22,3.44,2.5,38.19,36.5,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1483819,megawatthours,houston,houston
2025-05-23,3.44,2.44,38.19,36.39,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1517942,megawatthours,houston,houston
2025-05-24,3.56,2.67,38.41,36.81,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1519272,megawatthours,houston,houston
2025-05-25,3.5,2.78,38.3,37.0,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1514585,megawatthours,houston,houston
2025-05-26,3.11,2.11,37.6,35.8,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1323574,megawatthours,houston,houston
2025-05-27,3.28,2.0,37.9,35.6,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1353527,megawatthours,houston,houston
2025-05-28,2.78,2.22,37.0,36.0,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1305592,megawatthours,houston,houston
2025-05-29,3.44,2.17,38.19,35.91,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1395401,megawatthours,houston,houston
2025-05-30,3.17,2.39,37.71,36.3,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1313614,megawatthours,houston,houston
2025-05-31,3.22,2.39,37.8,36.3,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1344164,megawatthours,houston,houston
2025-06-01,3.39,2.22,38.1,36.0,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1401155,megawatthours,houston,houston
2025-06-02,3.39,2.39,38.1,36.3,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1515859,megawatthours,houston,houston
2025-06-03,3.22,2.33,37.8,36.19,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1503443,megawatthours,houston,houston
2025-06-04,3.33,2.61,37.99,36.7,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1430566,megawatthours,houston,houston
2025-06-05,3.44,2.44,38.19,36.39,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1497131,megawatthours,houston,houston
2025-06-06,3.5,2.67,38.3,36.81,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1560969,megawatthours,houston,houston
2025-06-07,3.61,2.61,38.5,36.7,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1539505,megawatthours,houston,houston
2025-06-08,3.67,2.61,38.61,36.7,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1537993,megawatthours,houston,houston
2025-06-09,3.44,2.22,38.19,36.0,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1511311,megawatthours,houston,houston
2025-06-10,3.39,2.5,38.1,36.5,houston,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1442103,megawatthours,houston,houston
