date,tmax_c,tmin_c,tmax_f,tmin_f,city_x,respondent,respondent-name,type,type-name,timezone,timezone-description,energy_mwh,value-units,city_y,city,day_type,month,weekday,temp_range
2025-04-28,2.89,1.17,37.2,34.11,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1953655,megawatthours,chicago,chicago,Weekday,4,Monday,<50°F
2025-04-29,2.5,1.0,36.5,33.8,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2026336,megawatthours,chicago,chicago,Weekday,4,Tuesday,<50°F
2025-04-30,1.61,0.67,34.9,33.21,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2036819,megawatthours,chicago,chicago,Weekday,4,Wednesday,<50°F
2025-05-01,2.0,1.06,35.6,33.91,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2060594,megawatthours,chicago,chicago,Weekday,5,Thursday,<50°F
2025-05-02,1.39,0.78,34.5,33.4,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2092208,megawatthours,chicago,chicago,Weekday,5,Friday,<50°F
2025-05-03,1.22,0.67,34.2,33.21,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1955557,megawatthours,chicago,chicago,Weekend,5,Saturday,<50°F
2025-05-04,1.5,0.72,34.7,33.3,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1883414,megawatthours,chicago,chicago,Weekend,5,Sunday,<50°F
2025-05-05,1.61,0.83,34.9,33.49,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2005714,megawatthours,chicago,chicago,Weekday,5,Monday,<50°F
2025-05-06,2.5,0.83,36.5,33.49,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1984170,megawatthours,chicago,chicago,Weekday,5,Tuesday,<50°F
2025-05-07,2.39,0.89,36.3,33.6,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1986506,megawatthours,chicago,chicago,Weekday,5,Wednesday,<50°F
2025-05-08,1.44,0.5,34.59,32.9,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2025767,megawatthours,chicago,chicago,Weekday,5,Thursday,<50°F
2025-05-09,1.94,0.28,35.49,32.5,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1923250,megawatthours,chicago,chicago,Weekday,5,Friday,<50°F
2025-05-10,2.28,0.78,36.1,33.4,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1775888,megawatthours,chicago,chicago,Weekend,5,Saturday,<50°F
2025-05-11,2.17,0.56,35.91,33.01,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1820740,megawatthours,chicago,chicago,Weekend,5,Sunday,<50°F
2025-05-12,2.67,0.89,36.81,33.6,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2043592,megawatthours,chicago,chicago,Weekday,5,Monday,<50°F
2025-05-13,2.56,1.44,36.61,34.59,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2082434,megawatthours,chicago,chicago,Weekday,5,Tuesday,<50°F
2025-05-14,2.67,1.33,36.81,34.39,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2107695,megawatthours,chicago,chicago,Weekday,5,Wednesday,<50°F
2025-05-15,3.44,1.39,38.19,34.5,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2261689,megawatthours,chicago,chicago,Weekday,5,Thursday,<50°F
2025-05-16,3.11,1.56,37.6,34.81,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2277799,megawatthours,chicago,chicago,Weekday,5,Friday,<50°F
2025-05-17,2.17,1.22,35.91,34.2,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2026227,megawatthours,chicago,chicago,Weekend,5,Saturday,<50°F
2025-05-18,1.78,0.72,35.2,33.3,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1897291,megawatthours,chicago,chicago,Weekend,5,Sunday,<50°F
2025-05-19,1.28,0.61,34.3,33.1,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2010845,megawatthours,chicago,chicago,Weekday,5,Monday,<50°F
2025-05-20,1.33,0.89,34.39,33.6,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1974841,megawatthours,chicago,chicago,Weekday,5,Tuesday,<50°F
2025-05-21,1.11,0.89,34.0,33.6,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1996622,megawatthours,chicago,chicago,Weekday,5,Wednesday,<50°F
2025-05-22,1.39,0.78,34.5,33.4,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1978006,megawatthours,chicago,chicago,Weekday,5,Thursday,<50°F
2025-05-23,1.83,0.56,35.29,33.01,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1903861,megawatthours,chicago,chicago,Weekday,5,Friday,<50°F
2025-05-24,1.89,0.67,35.4,33.21,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1765202,megawatthours,chicago,chicago,Weekend,5,Saturday,<50°F
2025-05-25,1.89,0.83,35.4,33.49,chicago,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1733998,megawatthours,chicago,chicago,Weekend,5,Sunday,<50°F
